model_id,track,regime,scenario,seed,accuracy,precision,recall,f1,balanced_accuracy,mcc,tn,fp,fn,tp,n,invalid_output_rate,latency_p50_ms,latency_p95_ms,throughput_per_second,average_input_tokens,average_output_tokens,prediction_file,accuracy_ci95_low,accuracy_ci95_high,precision_ci95_low,precision_ci95_high,recall_ci95_low,recall_ci95_high,f1_ci95_low,f1_ci95_high,balanced_accuracy_ci95_low,balanced_accuracy_ci95_high,mcc_ci95_low,mcc_ci95_high
google/electra-small-discriminator,encoder,fine-tuned,full,42,0.8111111111111111,0.7961783439490446,0.922509225092251,0.8547008547008547,0.7824836628254551,0.6021437934307239,115,64,21,250,450,0.0,20.66544250055813,22.695934800458417,47.911645227827535,255.52666666666667,0.0,artifacts/encoder/google__electra-small-discriminator/full/seed-42/predictions.csv,0.7821666666666667,0.8444444444444444,0.767796413591994,0.8322503190459426,0.8892988929889298,0.9520295202952029,0.8321911821055656,0.8793207133546629,0.7479947020140592,0.8205397452019214,0.5374707076180757,0.675218801727043
microsoft/MiniLM-L12-H384-uncased,encoder,fine-tuned,full,42,0.84,0.8515901060070671,0.8892988929889298,0.8700361010830325,0.8273310107402749,0.6632493832012455,137,42,30,241,450,0.0,16.074244500032364,17.12844739981847,61.788583583644076,255.52666666666667,0.0,artifacts/encoder/microsoft__MiniLM-L12-H384-uncased/full/seed-42/predictions.csv,0.8066666666666666,0.8711111111111111,0.819382842135979,0.8864488348530901,0.8487084870848709,0.922509225092251,0.8428526220614828,0.8948330814539254,0.7903262796594446,0.8616957677956668,0.5917505531089073,0.7294313534982257
microsoft/deberta-v3-small,encoder,fine-tuned,full,42,0.8088888888888889,0.8599221789883269,0.8154981549815498,0.8371212121212122,0.8071904182728977,0.6075801904774503,143,36,50,221,450,0.0,17.4642919996586,18.146656399630956,56.90876193534524,256.0,0.0,artifacts/encoder/microsoft__deberta-v3-small/full/seed-42/predictions.csv,0.7732777777777777,0.8422222222222222,0.8262466037466037,0.8964276481858824,0.7675276752767528,0.856180811808118,0.8038825616131441,0.8671619477877022,0.7700323651281206,0.8425245830670598,0.5330227899921204,0.6751005223095892
Qwen/Qwen2.5-1.5B-Instruct,prompt,zero,full,42,0.6911111111111111,0.6609756097560976,1.0,0.7958883994126285,0.611731843575419,0.3843228419868782,40,139,0,271,450,0.0,108.42062849997092,158.4278456503398,8.839162957298285,338.50444444444446,2.088888888888889,artifacts/prompt/Qwen__Qwen2.5-1.5B-Instruct/full/zero/predictions.csv,0.6688888888888889,0.7177777777777777,0.6452380952380953,0.6809045226130653,1.0,1.0,0.784370477568741,0.8101644245142003,0.5837988826815642,0.6452513966480447,0.32884717254230156,0.444752364565986
