model_id,track,regime,scenario,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,balanced_accuracy_mean,balanced_accuracy_std,mcc_mean,mcc_std,invalid_output_rate_mean,invalid_output_rate_std,latency_p50_ms_mean,latency_p50_ms_std,latency_p95_ms_mean,latency_p95_ms_std,throughput_per_second_mean,throughput_per_second_std
Qwen/Qwen2.5-1.5B-Instruct,prompt,zero,full,0.6911111111111111,,0.6609756097560976,,1.0,,0.7958883994126285,,0.611731843575419,,0.3843228419868782,,0.0,,108.42062849997092,,158.4278456503398,,8.839162957298285,
google/electra-small-discriminator,encoder,fine-tuned,full,0.8111111111111111,,0.7961783439490446,,0.922509225092251,,0.8547008547008547,,0.7824836628254551,,0.6021437934307239,,0.0,,20.66544250055813,,22.695934800458417,,47.911645227827535,
microsoft/MiniLM-L12-H384-uncased,encoder,fine-tuned,full,0.84,,0.8515901060070671,,0.8892988929889298,,0.8700361010830325,,0.8273310107402749,,0.6632493832012455,,0.0,,16.074244500032364,,17.12844739981847,,61.788583583644076,
microsoft/deberta-v3-small,encoder,fine-tuned,full,0.8088888888888889,,0.8599221789883269,,0.8154981549815498,,0.8371212121212122,,0.8071904182728977,,0.6075801904774503,,0.0,,17.4642919996586,,18.146656399630956,,56.90876193534524,
